data_id,sensor_name,eye_side,tempo_ms,pct_fundo,pct_iris,pct_pupila,pct_esclera
1,Triple,esquerdo,138,99.99,0.01,0.0,0.0
2,Triple,esquerdo,180,99.99,0.01,0.0,0.0
3,Triple,esquerdo,647,99.99,0.01,0.0,0.0
4,Triple,esquerdo,1102,99.98,0.01,0.0,0.0
5,Triple,esquerdo,1540,99.99,0.01,0.0,0.0
6,Triple,esquerdo,2005,99.98,0.01,0.01,0.0
7,Triple,esquerdo,2486,99.97,0.02,0.01,0.0
8,Triple,esquerdo,2950,99.98,0.02,0.0,0.0
9,Triple,esquerdo,3438,100.0,0.0,0.0,0.0
10,Triple,esquerdo,3911,99.99,0.01,0.0,0.0
11,Triple,esquerdo,4368,99.99,0.0,0.0,0.0
12,Triple,esquerdo,4788,99.99,0.01,0.0,0.0
13,Triple,esquerdo,5209,99.99,0.0,0.0,0.0
14,Triple,esquerdo,5648,99.99,0.01,0.0,0.0
15,Triple,esquerdo,6092,99.99,0.0,0.0,0.0
16,Triple,esquerdo,6552,99.99,0.01,0.01,0.0
17,Triple,esquerdo,6984,99.99,0.01,0.0,0.0
18,Triple,esquerdo,7371,99.99,0.01,0.0,0.0
19,Triple,esquerdo,7763,99.99,0.01,0.01,0.0
20,Triple,esquerdo,8175,99.98,0.01,0.01,0.0
21,Triple,esquerdo,8580,99.98,0.01,0.0,0.0
22,Triple,esquerdo,9037,99.98,0.02,0.0,0.0
23,Triple,esquerdo,9479,99.98,0.02,0.0,0.0
24,Triple,esquerdo,9926,99.96,0.03,0.0,0.0
25,Triple,esquerdo,10388,100.0,0.0,0.0,0.0
26,Triple,esquerdo,10880,99.98,0.01,0.01,0.0
27,Triple,esquerdo,11363,99.98,0.01,0.01,0.0
28,Triple,esquerdo,11843,99.98,0.01,0.01,0.0
29,Triple,esquerdo,12318,99.99,0.0,0.0,0.0
30,Triple,esquerdo,12800,99.99,0.01,0.0,0.0
31,Triple,esquerdo,13263,99.98,0.02,0.0,0.0
32,Triple,esquerdo,13707,99.99,0.01,0.0,0.0
33,Triple,esquerdo,14152,99.98,0.01,0.01,0.0
34,Triple,esquerdo,14605,99.98,0.01,0.0,0.0
35,Triple,esquerdo,15058,99.98,0.01,0.0,0.0
36,Triple,esquerdo,15531,99.98,0.01,0.0,0.0
37,Triple,esquerdo,16016,99.98,0.01,0.0,0.0
38,Triple,esquerdo,16512,99.99,0.01,0.0,0.0
39,Triple,esquerdo,17001,99.98,0.01,0.0,0.0
40,Triple,esquerdo,17485,99.99,0.01,0.0,0.0
41,Triple,esquerdo,17965,99.99,0.01,0.01,0.0
42,Triple,esquerdo,18397,99.99,0.01,0.0,0.0
43,Triple,esquerdo,18872,99.98,0.02,0.01,0.0
44,Triple,esquerdo,19348,99.99,0.01,0.0,0.0
45,Triple,esquerdo,19833,100.0,0.0,0.0,0.0
46,Triple,esquerdo,20326,99.99,0.01,0.0,0.0
47,Triple,esquerdo,20810,99.99,0.01,0.0,0.0
48,Triple,esquerdo,21294,99.98,0.02,0.0,0.0
49,Triple,esquerdo,21792,99.98,0.01,0.0,0.0
50,Triple,esquerdo,22288,99.98,0.02,0.0,0.0
51,Triple,esquerdo,22838,99.98,0.01,0.0,0.0
52,Triple,esquerdo,23365,99.99,0.0,0.0,0.0
53,Triple,esquerdo,23816,99.99,0.01,0.0,0.0
54,Triple,esquerdo,24304,100.0,0.0,0.0,0.0
55,Triple,esquerdo,24777,99.99,0.01,0.0,0.0
56,Triple,esquerdo,25230,99.98,0.02,0.0,0.0
57,Triple,esquerdo,25704,99.99,0.01,0.0,0.0
58,Triple,esquerdo,26198,99.99,0.01,0.0,0.0
59,Triple,esquerdo,26718,99.99,0.01,0.0,0.0
60,Triple,esquerdo,27238,99.99,0.01,0.0,0.0
61,Triple,esquerdo,27744,99.98,0.01,0.0,0.0
62,Triple,esquerdo,28218,99.98,0.02,0.0,0.0
63,Triple,esquerdo,28708,99.98,0.01,0.0,0.0
64,Triple,esquerdo,29203,99.98,0.01,0.01,0.0
65,Triple,esquerdo,29954,99.98,0.01,0.0,0.0
66,Triple,esquerdo,30437,99.98,0.02,0.0,0.0
67,Triple,esquerdo,30977,100.0,0.0,0.0,0.0
68,Triple,esquerdo,31484,99.99,0.01,0.0,0.0
69,Triple,esquerdo,31931,99.99,0.01,0.0,0.0
70,Triple,esquerdo,32395,99.99,0.01,0.0,0.0
