data_id,sensor_name,head_pitch,head_roll,head_yaw,tempo
1,2626,-39.39,-13.1199,-0.216909,24
2,2626,-39.279,-13.0821,-0.199842,62
3,2626,-39.1083,-13,-0.002185,105
4,2626,-38.9728,-12.7669,0.382566,139
5,2626,-38.8442,-12.5207,0.787544,181
6,2626,-38.8579,-12.551,1.11273,216
7,2626,-39.06,-12.9149,1.1913,255
8,2626,-38.9817,-13.2643,1.24231,296
9,2626,-38.6355,-13.415,1.1341,333
10,2626,-38.3218,-13.3388,1.00725,381
11,2626,-38.0668,-13.3039,0.82682,410
12,2626,-37.9221,-13.3752,0.673763,451
13,2626,-38.0241,-13.4435,0.645732,488
14,2626,-38.2067,-13.4105,0.596475,527
15,2626,-38.2173,-13.2589,0.569197,565
16,2626,-38.1843,-13.0806,0.542115,604
17,2626,-38.3674,-12.9466,0.557433,644
18,2626,-38.4847,-12.8267,0.726871,684
19,2626,-38.6412,-12.7497,0.923575,720
20,2626,-38.7071,-12.6525,1.06293,759
21,2626,-38.6672,-12.5023,1.07823,798
22,2626,-38.7027,-12.387,1.08993,836
23,2626,-38.7436,-12.4878,1.03883,876
24,2626,-38.6786,-12.5257,1.01086,914
25,2626,-38.5944,-12.6788,0.950985,957
26,2626,-38.477,-12.8025,0.978115,995
27,2626,-38.15,-12.9144,1.06751,1034
28,2626,-37.954,-12.954,1.21558,1068
29,2626,-37.8161,-13.0434,1.37636,1108
30,2626,-37.8326,-13.078,1.49421,1145
31,2626,-37.9338,-13.0633,1.48233,1184
32,2626,-38.1307,-12.9906,1.43395,1223
33,2626,-38.3231,-12.8871,1.34104,1262
34,2626,-38.4148,-12.8171,1.25823,1304
35,2626,-38.6264,-12.6701,1.19118,1341
36,2626,-38.7529,-12.5166,1.16896,1384
37,2626,-38.9388,-12.277,1.23121,1418
38,2626,-39.0264,-12.2323,1.09838,1456
39,2626,-38.9725,-12.0622,0.923033,1495
40,2626,-38.9324,-12.03,0.63139,1534
41,2626,-38.8103,-12.0199,0.508468,1574
42,2626,-38.6942,-11.9864,0.410076,1613
43,2626,-38.5966,-11.8207,0.487995,1651
44,2626,-38.5573,-11.66,0.586341,1689
45,2626,-38.6359,-11.5116,0.531396,1728
46,2626,-38.574,-11.3976,0.451938,1766
47,2626,-38.4635,-11.5408,0.447804,1811
48,2626,-38.3642,-11.7606,0.571069,1844
49,2626,-38.2852,-11.9162,0.594838,1884
50,2626,-38.1457,-12.0007,0.528329,1922
51,2626,-37.986,-11.9661,0.460337,1961
52,2626,-37.8832,-11.955,0.391785,1999
53,2626,-37.9056,-12.0668,0.308814,2039
54,2626,-37.9517,-12.1698,0.261132,2076
55,2626,-38.01,-12.1917,0.256342,2122
56,2626,-38.0745,-12.1798,0.369665,2158
57,2626,-38.0929,-12.2064,0.510977,2192
58,2626,-38.061,-12.259,0.583003,2232
59,2626,-38.0188,-12.3417,0.627953,2271
60,2626,-37.9676,-12.448,0.699503,2312
61,2626,-37.9204,-12.5424,0.843099,2352
62,2626,-37.8476,-12.6475,1.05888,2387
63,2626,-37.7886,-12.7241,1.29997,2432
64,2626,-37.663,-12.7892,1.4618,2466
65,2626,-37.5345,-12.8516,1.48996,2504
66,2626,-37.4358,-12.9409,1.57356,2541
67,2626,-37.3683,-13.0389,1.73104,2581
68,2626,-37.2286,-13.1388,1.90044,2619
69,2626,-37.1626,-13.263,1.99661,2659
70,2626,-37.138,-13.346,2.05092,2698
71,2626,-37.2177,-13.3151,2.08726,2737
72,2626,-37.2793,-13.1644,2.05134,2775
73,2626,-37.3402,-12.9857,1.97496,2813
74,2626,-37.3156,-12.8895,1.95398,2852
75,2626,-37.2186,-12.8966,1.98836,2890
76,2626,-37.2205,-12.9073,2.05157,2929
77,2626,-37.2257,-12.8994,2.12425,2968
78,2626,-37.1961,-12.8769,2.06838,3007
79,2626,-37.1576,-12.8993,1.92418,3045
80,2626,-37.1862,-13.0021,1.74482,3083
81,2626,-37.3159,-13.0322,1.53495,3123
82,2626,-37.4276,-13.0131,1.28936,3161
83,2626,-37.4519,-12.9575,1.08206,3200
84,2626,-37.3665,-12.92,0.92388,3244
85,2626,-37.2773,-12.8611,0.8121,3278
86,2626,-37.231,-12.872,0.789313,3315
87,2626,-37.2072,-12.8923,0.838582,3354
88,2626,-37.2662,-12.9162,0.913459,3393
89,2626,-37.3472,-12.8787,0.996754,3432
90,2626,-37.3903,-12.8697,1.0756,3471
91,2626,-37.429,-12.8923,1.15079,3509
92,2626,-37.4039,-12.9629,1.28614,3551
93,2626,-37.3511,-13.048,1.50898,3586
94,2626,-37.196,-13.2807,1.97881,3624
95,2626,-36.9865,-13.8418,2.81065,3664
96,2626,-36.6691,-14.6956,4.27401,3702
97,2626,-36.2105,-16.3647,6.66558,3763
98,2626,-35.7562,-19.0848,11.1791,3779
99,2626,-35.3369,-22.5559,17.6282,3820
100,2626,-34.8852,-26.5399,24.7493,3859
101,2626,-34.4955,-30.9799,31.3196,3896
102,2626,-34.3453,-35.1087,37.022,3934
103,2626,-33.797,-37.923,40.3712,3978
104,2626,-32.8075,-40.1035,40.8378,4021
105,2626,-32.5528,-40.0154,39.5466,4050
106,2626,-32.4194,-38.2631,37.1917,4089
107,2626,-32.223,-35.6263,33.9406,4128
108,2626,-32.3592,-32.5012,30.4303,4167
109,2626,-32.8839,-28.8067,26.4177,4208
110,2626,-33.4578,-25.39,22.0556,4244
111,2626,-34.1479,-22.2829,17.9532,4283
112,2626,-34.7268,-19.1221,14.2652,4322
113,2626,-35.2927,-16.4937,10.746,4360
114,2626,-35.8705,-14.1431,7.81701,4399
115,2626,-36.1941,-12.0988,4.94833,4437
116,2626,-36.4349,-10.3473,2.19679,4480
117,2626,-36.5609,-8.6903,-0.203929,4515
118,2626,-36.6531,-7.34924,-2.19356,4554
119,2626,-36.7478,-6.10806,-3.80317,4598
120,2626,-36.7859,-5.09976,-5.06136,4632
121,2626,-36.7267,-4.45432,-5.98145,4671
122,2626,-36.6249,-3.97496,-6.66506,4709
123,2626,-36.4892,-3.57703,-7.31151,4747
124,2626,-36.3633,-3.25324,-7.84589,4787
125,2626,-36.1701,-3.01154,-8.17253,4825
126,2626,-36.0448,-2.77193,-8.37594,4865
127,2626,-35.9243,-2.6364,-8.47103,4904
128,2626,-35.7709,-2.65071,-8.37952,4943
129,2626,-35.5987,-2.81657,-8.19019,4985
130,2626,-35.4839,-2.94427,-7.95981,5020
131,2626,-35.3652,-3.06878,-7.73603,5058
132,2626,-35.2372,-3.20599,-7.51347,5097
133,2626,-35.0624,-3.33374,-7.31852,5136
134,2626,-34.8993,-3.47364,-7.09149,5176
135,2626,-34.8279,-3.75001,-6.86305,5213
136,2626,-34.9078,-4.05851,-6.57986,5252
137,2626,-35.0422,-4.38166,-6.21693,5300
138,2626,-35.1297,-4.75711,-5.84986,5329
139,2626,-35.1429,-5.1911,-5.53531,5368
140,2626,-35.2088,-5.5366,-5.16044,5407
141,2626,-35.3453,-5.81654,-4.73527,5444
142,2626,-35.4544,-6.12583,-4.29346,5490
143,2626,-35.5067,-6.43964,-3.92295,5523
144,2626,-35.5122,-6.78026,-3.56729,5563
145,2626,-35.5262,-7.17848,-3.20226,5608
146,2626,-35.5085,-7.57165,-2.82004,5647
147,2626,-35.4073,-7.95603,-2.31363,5678
148,2626,-35.2787,-8.25364,-1.64559,5717
149,2626,-35.2678,-9.07361,-0.560695,5756
150,2626,-35.3382,-10.8313,1.89171,5794
151,2626,-35.6822,-15.1414,6.44686,5833
152,2626,-36.008,-20.4628,14.2023,5871
153,2626,-36.2402,-23.2349,22.7597,5912
154,2626,-36.1606,-25.7416,30.3483,5951
155,2626,-36.133,-30.0663,32.9709,5989
156,2626,-35.768,-31.9755,33.3194,6028
157,2626,-35.0044,-31.8102,32.5214,6067
158,2626,-34.5973,-30.0721,30.3834,6111
159,2626,-34.7317,-27.8063,27.6002,6144
160,2626,-34.9191,-25.2624,24.2964,6182
161,2626,-35.107,-22.6308,20.7174,6222
162,2626,-35.2624,-19.4794,16.8892,6259
163,2626,-35.4516,-16.4056,13.2003,6298
164,2626,-35.666,-13.3865,9.48466,6337
165,2626,-35.8848,-10.7703,5.99439,6376
166,2626,-36.1065,-8.29,2.9558,6418
167,2626,-36.2514,-6.09332,0.307187,6454
168,2626,-36.418,-4.03427,-2.12915,6493
169,2626,-36.452,-2.31473,-4.17987,6533
170,2626,-36.5588,-0.990777,-6.04115,6568
171,2626,-36.6042,0.204113,-7.5124,6609
172,2626,-36.6907,1.22541,-8.86795,6645
173,2626,-36.7453,1.96336,-9.96199,6685
174,2626,-36.7734,2.50822,-10.8466,6734
175,2626,-36.7307,2.91972,-11.662,6762
176,2626,-36.6906,3.03583,-12.1876,6802
177,2626,-36.6396,2.95059,-12.4289,6840
178,2626,-36.5755,2.80764,-12.495,6877
179,2626,-36.477,2.60194,-12.3373,6916
180,2626,-36.3332,2.36776,-12.0548,6955
181,2626,-36.2047,2.09987,-11.7708,6994
182,2626,-36.1021,1.6852,-11.4919,7034
183,2626,-36.0035,1.13916,-11.1827,7072
184,2626,-35.9079,0.574595,-10.879,7112
185,2626,-35.8404,0.19128,-10.6373,7148
186,2626,-35.7697,-0.116794,-10.5998,7189
187,2626,-35.7301,-0.322224,-10.5116,7227
188,2626,-35.7264,-0.509552,-10.3975,7264
189,2626,-35.7973,-0.695354,-10.3061,7303
190,2626,-35.9031,-0.845541,-10.1927,7343
191,2626,-35.9917,-0.970987,-10.0523,7382
192,2626,-36.0779,-1.07389,-9.88797,7418
193,2626,-36.1051,-1.24735,-9.67752,7459
194,2626,-36.0492,-1.53004,-9.39332,7497
195,2626,-35.9882,-1.93277,-9.0631,7535
196,2626,-35.9019,-2.38505,-8.73551,7574
197,2626,-35.8451,-2.75753,-8.45599,7613
198,2626,-35.8155,-2.98817,-8.24983,7655
199,2626,-35.8357,-3.10714,-8.11168,7692
200,2626,-35.8544,-3.23231,-8.07858,7730
201,2626,-35.871,-3.35009,-8.03675,7768
202,2626,-35.8186,-3.54998,-7.97939,7807
203,2626,-35.7569,-3.72579,-7.88245,7845
204,2626,-35.683,-3.85914,-7.7935,7884
205,2626,-35.6782,-3.98187,-7.64903,7923
206,2626,-35.6675,-4.11555,-7.44249,7962
207,2626,-35.6123,-4.27849,-7.17162,8001
208,2626,-35.5275,-4.55146,-6.79155,8039
209,2626,-35.4541,-4.89788,-6.19927,8080
210,2626,-35.4739,-5.47046,-5.22269,8116
211,2626,-35.4734,-6.32055,-3.71872,8159
212,2626,-35.4699,-7.49799,-1.85422,8194
213,2626,-35.4086,-9.55596,1.01724,8233
214,2626,-35.2546,-12.9187,5.84708,8271
215,2626,-35.1633,-17.766,13.1766,8311
216,2626,-35.3435,-22.4941,21.7853,8350
217,2626,-35.402,-26.8137,29.9636,8389
218,2626,-35.1079,-30.3302,35.4753,8427
219,2626,-34.776,-33.2368,36.5225,8470
220,2626,-34.301,-34.2607,35.4366,8509
221,2626,-33.9886,-33.4945,33.3745,8545
222,2626,-34.1215,-31.8332,30.7038,8583
223,2626,-34.3436,-29.9751,28.2101,8622
224,2626,-34.4847,-27.5396,25.7939,8660
225,2626,-34.5657,-24.9125,22.7617,8710
226,2626,-34.6312,-22.2858,19.4156,8737
227,2626,-34.8256,-19.5709,16.3475,8780
228,2626,-34.8619,-16.9959,13.4703,8818
229,2626,-34.9318,-14.7458,11.1007,8854
230,2626,-35.0449,-12.7525,9.21099,8893
231,2626,-35.0461,-11.0406,7.37619,8933
232,2626,-35.0698,-9.51927,5.63823,8979
233,2626,-35.0528,-8.19279,3.95917,9010
234,2626,-34.9194,-6.76998,2.19238,9049
235,2626,-34.8012,-5.53741,0.524684,9089
236,2626,-34.7363,-4.20293,-1.14957,9126
237,2626,-34.6431,-3.11649,-2.82185,9165
238,2626,-34.6348,-2.24615,-4.236,9204
239,2626,-34.5355,-1.30433,-5.32576,9242
240,2626,-34.5565,-0.707558,-6.19318,9286
241,2626,-34.6,-0.200363,-6.7665,9321
242,2626,-34.5553,0.168385,-7.27014,9362
243,2626,-34.3502,0.492071,-7.59164,9400
244,2626,-34.2386,0.96132,-8.07467,9436
245,2626,-34.1314,1.34836,-8.79997,9477
246,2626,-34.0053,1.62378,-9.47356,9514
247,2626,-33.9056,1.95949,-10.177,9553
248,2626,-33.8425,2.17742,-10.8136,9595
249,2626,-33.8801,2.33223,-11.2451,9630
250,2626,-33.8941,2.48411,-11.6564,9680
251,2626,-33.9261,2.64131,-12.1567,9708
252,2626,-33.9774,2.94213,-12.7444,9748
253,2626,-34.0312,3.37818,-13.3197,9785
254,2626,-34.053,3.82411,-13.8604,9825
255,2626,-34.0339,4.18343,-14.2523,9863
256,2626,-34.0198,4.37208,-14.4138,9909
257,2626,-33.9636,4.30521,-14.3798,9942
258,2626,-33.9315,4.00021,-14.1351,9979
259,2626,-33.9181,3.54297,-13.7163,10018
260,2626,-33.9361,3.04986,-13.1872,10058
261,2626,-33.9327,2.53705,-12.5581,10096
262,2626,-33.9604,2.00866,-11.896,10135
263,2626,-33.9497,1.53171,-11.2845,10173
264,2626,-33.933,1.1043,-10.8046,10217
265,2626,-33.924,0.72971,-10.4974,10251
266,2626,-33.9359,0.504115,-10.4474,10290
267,2626,-33.9944,0.746469,-10.8792,10329
268,2626,-33.9362,1.63488,-12.4327,10368
269,2626,-34.0624,3.36311,-16.2704,10420
270,2626,-34.9216,5.3397,-22.0237,10446
271,2626,-35.2671,7.92397,-29.0123,10484
272,2626,-36.1414,10.3049,-36.2686,10533
273,2626,-36.9744,13.2998,-42.6271,10560
274,2626,-37.243,15.3459,-47.0477,10600
275,2626,-37.5832,15.928,-48.9623,10640
276,2626,-37.5751,15.9951,-48.3053,10678
277,2626,-37.6373,15.3032,-45.9636,10726
278,2626,-37.4482,13.8893,-42.9125,10757
279,2626,-36.9415,11.8606,-39.7377,10796
280,2626,-36.285,9.60976,-36.6517,10834
281,2626,-35.5896,7.52611,-33.8038,10872
282,2626,-35.0459,5.59237,-30.8964,10910
283,2626,-34.6991,3.71819,-28.01,10950
284,2626,-34.4221,1.97714,-25.1838,10988
285,2626,-34.177,0.270276,-22.5881,11028
286,2626,-33.9829,-1.2994,-20.2284,11065
287,2626,-33.8862,-2.62755,-17.8971,11104
288,2626,-33.8529,-3.90184,-15.6226,11143
289,2626,-33.7649,-5.21575,-13.3832,11182
290,2626,-33.6909,-6.58733,-11.1843,11220
291,2626,-33.6751,-7.77048,-9.17057,11260
292,2626,-33.744,-8.78137,-7.25748,11297
293,2626,-33.8005,-9.79885,-5.40954,11339
294,2626,-33.8336,-10.7973,-3.58919,11377
295,2626,-33.9093,-11.822,-1.76086,11415
296,2626,-33.9999,-12.9138,-0.027911,11455
297,2626,-33.9451,-14.0337,1.38054,11496
298,2626,-33.9562,-15.0744,2.76014,11530
